# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
5181.9000 A344 20 1 212.9000 Street_10 Avenue_17 296 N Street_10->Avenue_17
5224.3000 A361 20 1 0.3000 Street_8 Street_9 299 N Street_8->Street_9
5268.1000 A364 20 1 0.1000 Avenue_12 Street_1 299 N Avenue_12->Street_1
5304.4000 A365 20 1 26.4000 Avenue_12 Avenue_16 299 N Avenue_12->Avenue_16
5304.9000 A351 20 5 239.9000 Street_3 Street_5 296 N Street_3->Street_2->Street_4->Street_9->Street_7->Street_5
5309.1000 A301 20 4 973.1000 Street_7 Avenue_12 283 N Street_7->Street_8->Avenue_19->Avenue_14->Avenue_12
5311.1000 A367 20 1 0.1000 Street_9 Street_7 299 N Street_9->Street_7
5461.9000 A368 20 2 137.9000 Avenue_18 Avenue_19 297 N Avenue_18->Avenue_11->Avenue_19
5602.6000 A373 20 3 204.6000 Street_3 Street_8 296 N Street_3->Street_5->Street_1->Street_8
5729.3000 A388 20 2 124.3000 Street_3 Street_4 297 N Street_3->Street_6->Street_4
5808.8000 A401 20 1 19.8000 Street_10 Street_9 299 N Street_10->Street_9
5892.8000 A376 20 3 451.8000 Street_7 Avenue_20 292 N Street_7->Street_6->Avenue_14->Avenue_20
5929.1000 A405 20 2 84.1000 Street_6 Street_2 298 N Street_6->Street_8->Street_2
5947.4000 A390 20 2 311.4000 Street_9 Avenue_16 294 N Street_9->Avenue_12->Avenue_16
5955.1000 A409 20 1 47.1000 Street_5 Street_6 299 N Street_5->Street_6
6021.7000 A403 20 2 202.7000 Street_4 Street_5 296 N Street_4->Street_9->Street_5
6174.8000 A426 20 1 35.8000 Street_10 Street_3 299 N Street_10->Street_3
6347.6000 A414 20 3 380.6000 Avenue_15 Avenue_19 293 N Avenue_15->Avenue_13->Avenue_14->Avenue_19
6372.9000 A423 20 2 277.9000 DENVpatients_0 Street_3 295 N DENVpatients_0->Street_1->Street_3
6386.3000 A415 20 2 407.3000 Avenue_19 Street_1 293 N Avenue_19->Street_9->Street_1
6504.0000 A433 20 4 279.0000 Street_10 Avenue_16 295 N Street_10->Street_5->Street_7->Avenue_12->Avenue_16
6522.5000 A427 20 2 373.5000 Avenue_17 Avenue_14 293 N Avenue_17->Avenue_20->Avenue_14
6570.5000 A456 20 1 30.5000 Avenue_12 Street_3 299 N Avenue_12->Street_3
6651.0000 A457 20 2 93.0000 Avenue_15 Street_8 298 N Avenue_15->Street_3->Street_8
6741.7000 A455 20 3 213.7000 Street_2 Avenue_20 296 N Street_2->Street_1->Avenue_15->Avenue_20
6810.5000 A466 20 2 122.5000 Street_10 Street_8 297 N Street_10->Street_4->Street_8
6828.9000 A458 20 3 255.9000 Street_4 Street_1 295 N Street_4->Street_6->Street_7->Street_1
6879.6000 A478 20 1 21.6000 Avenue_11 Avenue_18 299 N Avenue_11->Avenue_18
6900.1000 A481 20 1 0.1000 Avenue_18 Avenue_11 299 N Avenue_18->Avenue_11
6985.3000 A472 20 2 212.3000 Avenue_14 Avenue_11 296 N Avenue_14->Avenue_17->Avenue_11
7017.3000 A485 20 2 48.3000 Avenue_18 Street_8 299 N Avenue_18->Street_4->Street_8
7117.2000 A487 20 3 112.2000 Street_9 Street_3 298 N Street_9->Street_5->Street_6->Street_3
7130.2000 A492 20 1 43.2000 Street_5 Street_1 299 N Street_5->Street_1
7177.9000 A496 20 1 33.9000 Street_10 Street_2 299 N Street_10->Street_2
7262.6000 A501 20 2 46.6000 Street_4 Street_7 299 N Street_4->Street_5->Street_7
7299.4000 A504 20 2 45.4000 Street_3 Street_9 299 N Street_3->Street_6->Street_9
