# messageDelay  cumulativeProbability
344.7000 0.3749
346.1000 0.3760
348.7000 0.3772
350.0000 0.3784
353.7000 0.3796
354.2000 0.3807
354.6000 0.3819
355.7000 0.3831
355.8000 0.3843
356.6000 0.3854
357.1000 0.3866
358.6000 0.3878
360.0000 0.3890
360.6000 0.3901
366.7000 0.3913
367.8000 0.3925
368.1000 0.3937
368.2000 0.3948
371.8000 0.3960
372.6000 0.3972
377.4000 0.3984
377.4000 0.3995
378.6000 0.4007
379.1000 0.4019
382.5000 0.4031
383.3000 0.4042
384.0000 0.4054
385.2000 0.4066
386.3000 0.4078
391.9000 0.4089
392.6000 0.4101
393.0000 0.4113
393.3000 0.4125
395.0000 0.4136
396.3000 0.4148
398.2000 0.4160
399.0000 0.4172
401.8000 0.4183
403.0000 0.4195
404.8000 0.4207
407.2000 0.4219
409.1000 0.4230
409.3000 0.4242
409.6000 0.4254
409.7000 0.4266
410.2000 0.4277
411.2000 0.4289
412.8000 0.4301
413.8000 0.4313
415.0000 0.4324
415.1000 0.4336
416.9000 0.4348
417.6000 0.4360
417.6000 0.4371
418.3000 0.4383
419.0000 0.4395
419.5000 0.4407
419.6000 0.4418
425.2000 0.4430
425.5000 0.4442
432.1000 0.4454
432.9000 0.4465
433.1000 0.4477
433.8000 0.4489
436.2000 0.4501
441.0000 0.4512
441.8000 0.4524
445.9000 0.4536
446.2000 0.4548
446.3000 0.4559
447.9000 0.4571
457.0000 0.4583
457.1000 0.4595
457.6000 0.4606
459.7000 0.4618
459.9000 0.4630
459.9000 0.4642
461.2000 0.4653
463.5000 0.4665
464.5000 0.4677
465.3000 0.4689
468.2000 0.4700
468.5000 0.4712
468.8000 0.4724
469.1000 0.4736
470.2000 0.4747
473.8000 0.4759
474.1000 0.4771
474.9000 0.4783
478.7000 0.4794
480.9000 0.4806
483.4000 0.4818
483.7000 0.4830
484.0000 0.4841
484.1000 0.4853
485.2000 0.4865
485.3000 0.4877
485.8000 0.4888
487.3000 0.4900
487.5000 0.4912
487.8000 0.4924
490.4000 0.4935
492.1000 0.4947
495.1000 0.4959
497.4000 0.4971
498.2000 0.4982
498.8000 0.4994
499.3000 0.5006
509.2000 0.5018
513.2000 0.5029
513.6000 0.5041
517.5000 0.5053
517.6000 0.5065
519.3000 0.5076
519.3000 0.5088
522.8000 0.5100
523.9000 0.5112
529.9000 0.5123
532.4000 0.5135
532.9000 0.5147
533.7000 0.5159
545.6000 0.5170
548.5000 0.5182
550.7000 0.5194
553.9000 0.5206
553.9000 0.5217
557.0000 0.5229
563.2000 0.5241
564.6000 0.5253
565.0000 0.5264
565.8000 0.5276
566.6000 0.5288
567.4000 0.5300
569.0000 0.5311
569.6000 0.5323
569.9000 0.5335
572.2000 0.5347
577.0000 0.5358
577.9000 0.5370
578.5000 0.5382
578.7000 0.5394
578.9000 0.5405
582.0000 0.5417
583.8000 0.5429
587.9000 0.5441
588.0000 0.5452
589.7000 0.5464
594.2000 0.5476
596.9000 0.5488
597.6000 0.5499
598.4000 0.5511
598.6000 0.5523
600.1000 0.5535
609.1000 0.5546
609.9000 0.5558
610.7000 0.5570
611.2000 0.5582
611.7000 0.5593
612.9000 0.5605
616.2000 0.5617
616.7000 0.5629
617.6000 0.5640
621.1000 0.5652
621.6000 0.5664
622.2000 0.5676
622.9000 0.5687
624.0000 0.5699
624.3000 0.5711
625.5000 0.5723
625.9000 0.5734
627.6000 0.5746
629.3000 0.5758
629.5000 0.5770
629.8000 0.5781
635.9000 0.5793
636.5000 0.5805
637.7000 0.5817
639.2000 0.5828
639.9000 0.5840
640.1000 0.5852
643.6000 0.5864
647.3000 0.5875
649.3000 0.5887
650.9000 0.5899
652.3000 0.5911
657.8000 0.5922
659.0000 0.5934
659.3000 0.5946
660.2000 0.5958
661.3000 0.5969
662.2000 0.5981
663.9000 0.5993
664.7000 0.6005
666.0000 0.6016
669.7000 0.6028
670.9000 0.6040
671.3000 0.6052
671.5000 0.6063
672.6000 0.6075
672.6000 0.6087
674.2000 0.6099
676.4000 0.6110
677.6000 0.6122
679.8000 0.6134
681.5000 0.6146
686.2000 0.6157
687.3000 0.6169
688.9000 0.6181
691.7000 0.6193
700.8000 0.6204
708.0000 0.6216
708.6000 0.6228
709.5000 0.6240
713.8000 0.6251
713.8000 0.6263
721.6000 0.6275
737.2000 0.6287
738.2000 0.6298
739.4000 0.6310
743.3000 0.6322
745.9000 0.6334
748.7000 0.6345
749.9000 0.6357
754.0000 0.6369
754.3000 0.6381
756.5000 0.6392
760.0000 0.6404
760.5000 0.6416
765.5000 0.6428
770.9000 0.6439
773.2000 0.6451
773.9000 0.6463
778.2000 0.6475
781.1000 0.6486
787.1000 0.6498
787.2000 0.6510
787.7000 0.6522
789.5000 0.6533
791.0000 0.6545
795.2000 0.6557
797.0000 0.6569
798.3000 0.6580
799.7000 0.6592
802.7000 0.6604
804.8000 0.6616
805.0000 0.6627
806.6000 0.6639
807.2000 0.6651
811.1000 0.6663
818.4000 0.6675
820.9000 0.6686
824.6000 0.6698
832.1000 0.6710
834.2000 0.6722
837.9000 0.6733
838.7000 0.6745
845.0000 0.6757
849.7000 0.6769
850.2000 0.6780
851.7000 0.6792
853.8000 0.6804
855.7000 0.6816
858.1000 0.6827
859.9000 0.6839
860.1000 0.6851
867.8000 0.6863
869.7000 0.6874
871.4000 0.6886
871.9000 0.6898
874.2000 0.6910
874.9000 0.6921
879.9000 0.6933
883.1000 0.6945
889.1000 0.6957
891.2000 0.6968
891.4000 0.6980
900.8000 0.6992
905.4000 0.7004
907.7000 0.7015
913.3000 0.7027
915.9000 0.7039
918.2000 0.7051
935.1000 0.7062
948.0000 0.7074
949.3000 0.7086
949.8000 0.7098
950.2000 0.7109
953.3000 0.7121
954.4000 0.7133
963.6000 0.7145
969.0000 0.7156
974.0000 0.7168
976.1000 0.7180
980.4000 0.7192
980.9000 0.7203
988.9000 0.7215
989.4000 0.7227
997.9000 0.7239
999.8000 0.7250
1006.1000 0.7262
1006.8000 0.7274
1009.8000 0.7286
1010.2000 0.7297
1011.9000 0.7309
