# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1623.0000 A19 31 1 1365.0000 Street_10 Avenue_18 277 N Street_10->Avenue_18
1623.1000 A50 31 1 911.1000 Street_10 Avenue_18 284 N Street_10->Avenue_18
1623.2000 A41 31 1 1040.2000 Avenue_18 Street_10 282 N Avenue_18->Street_10
1624.8000 A60 31 1 766.8000 Avenue_13 Avenue_18 287 N Avenue_13->Avenue_18
1643.3000 A91 31 2 345.3000 Avenue_18 Street_2 294 N Avenue_18->Street_8->Street_2
1663.0000 A71 31 2 649.0000 Avenue_13 Street_3 289 N Avenue_13->Street_10->Street_3
1664.7000 A101 31 1 231.7000 Avenue_16 Avenue_12 296 N Avenue_16->Avenue_12
1673.7000 A113 31 1 76.7000 Street_4 Street_10 298 N Street_4->Street_10
1685.5000 A66 31 2 737.5000 Avenue_16 Avenue_17 287 N Avenue_16->Avenue_19->Avenue_17
1685.6000 A64 31 3 769.6000 Street_9 Avenue_17 287 N Street_9->Avenue_20->Avenue_19->Avenue_17
1708.2000 A23 31 2 1399.2000 Avenue_13 Street_9 276 N Avenue_13->Street_3->Street_9
1708.3000 A68 31 2 738.3000 Avenue_13 Street_9 287 N Avenue_13->Street_3->Street_9
1721.1000 A75 31 2 660.1000 Avenue_18 Avenue_11 288 N Avenue_18->Avenue_17->Avenue_11
1753.1000 A123 31 1 0.1000 Avenue_12 Avenue_14 299 N Avenue_12->Avenue_14
1754.1000 A100 31 2 333.1000 Avenue_13 Avenue_16 294 N Avenue_13->Avenue_18->Avenue_16
1754.2000 A3 31 2 1714.2000 Street_6 Avenue_18 271 N Street_6->Avenue_16->Avenue_18
1754.6000 A105 31 3 267.6000 Street_4 Avenue_11 295 N Street_4->Avenue_18->Avenue_16->Avenue_11
1788.6000 A115 31 2 162.6000 Avenue_18 Street_1 297 N Avenue_18->Street_4->Street_1
1804.5000 A58 31 3 976.5000 Avenue_13 Street_7 283 N Avenue_13->Street_8->Street_5->Street_7
1821.2000 A104 31 1 344.2000 Avenue_11 Avenue_19 294 N Avenue_11->Avenue_19
1836.2000 A74 31 2 785.2000 Avenue_17 Avenue_13 286 N Avenue_17->Avenue_19->Avenue_13
1846.1000 A130 31 1 0.1000 Avenue_11 Avenue_19 299 N Avenue_11->Avenue_19
1853.4000 A109 31 1 308.4000 Street_7 Street_1 294 N Street_7->Street_1
1890.5000 A119 31 1 195.5000 Avenue_20 Avenue_13 296 N Avenue_20->Avenue_13
1898.6000 A84 31 4 695.6000 Street_7 Avenue_14 288 N Street_7->Street_4->Street_8->Avenue_13->Avenue_14
1898.7000 A80 31 4 763.7000 Street_7 Avenue_14 287 N Street_7->Street_4->Street_8->Avenue_13->Avenue_14
1914.0000 A63 31 2 1010.0000 Street_3 Avenue_12 283 N Street_3->Avenue_13->Avenue_12
1914.6000 A90 31 1 627.6000 Station1_0 Street_9 289 N Station1_0->Street_9
1936.7000 A134 31 3 30.7000 Avenue_13 Avenue_20 299 N Avenue_13->Avenue_14->Avenue_16->Avenue_20
1990.2000 A117 31 1 326.2000 Avenue_19 Avenue_20 294 N Avenue_19->Avenue_20
2018.3000 A128 31 3 198.3000 Station1_0 Street_6 296 N Station1_0->Street_9->Street_7->Street_6
2029.7000 A92 31 3 716.7000 Street_7 Avenue_15 288 N Street_7->Street_6->Avenue_11->Avenue_15
2044.6000 A111 31 3 472.6000 Avenue_11 Street_9 292 N Avenue_11->Street_8->Street_6->Street_9
2064.5000 A82 31 3 894.5000 Street_9 Avenue_18 285 N Street_9->Avenue_20->Avenue_17->Avenue_18
2129.9000 A132 31 2 253.9000 Street_5 Street_4 295 N Street_5->Street_7->Street_4
2214.1000 A11 31 1 2056.1000 Street_6 Station1_0 265 N Street_6->Station1_0
2220.1000 A135 31 3 301.1000 Station1_0 Street_4 294 N Station1_0->Street_9->Street_10->Street_4
2253.9000 A133 31 2 365.9000 Avenue_18 Avenue_11 293 N Avenue_18->Avenue_17->Avenue_11
2254.0000 A136 31 2 325.0000 Street_9 Avenue_17 294 N Street_9->Avenue_11->Avenue_17
2274.7000 A131 31 2 415.7000 Avenue_12 Avenue_14 293 N Avenue_12->Avenue_20->Avenue_14
2294.4000 A145 31 1 220.4000 Avenue_19 Avenue_13 296 N Avenue_19->Avenue_13
2304.1000 A160 31 1 0.1000 Avenue_19 Avenue_13 299 N Avenue_19->Avenue_13
2308.1000 A88 31 2 1049.1000 Street_6 Avenue_12 282 N Street_6->Avenue_11->Avenue_12
2347.0000 A162 31 1 16.0000 Avenue_11 Avenue_17 299 N Avenue_11->Avenue_17
2379.4000 A42 31 2 1786.4000 Street_7 Avenue_16 270 N Street_7->Street_6->Avenue_16
2379.5000 A120 31 3 667.5000 Street_8 Avenue_16 288 N Street_8->Street_5->Street_6->Avenue_16
2396.2000 A137 31 1 455.2000 Avenue_19 Avenue_11 292 N Avenue_19->Avenue_11
2410.8000 A89 31 3 1133.8000 Street_6 Avenue_13 281 N Street_6->Avenue_11->Avenue_14->Avenue_13
2431.3000 A141 31 1 423.3000 Avenue_16 Street_10 292 N Avenue_16->Street_10
2445.0000 A125 31 2 669.0000 Avenue_15 Street_7 288 N Avenue_15->Avenue_16->Street_7
2451.6000 A163 31 2 104.6000 Avenue_16 Street_1 298 N Avenue_16->Street_10->Street_1
2511.0000 A98 31 3 1117.0000 Avenue_12 Street_2 281 N Avenue_12->Avenue_16->Street_10->Street_2
2512.7000 A172 31 1 61.7000 Avenue_12 Avenue_16 298 N Avenue_12->Avenue_16
2553.6000 A149 31 2 417.6000 Station1_0 Street_3 293 N Station1_0->Street_6->Street_3
2572.8000 A61 31 3 1699.8000 Avenue_12 Street_4 271 N Avenue_12->Avenue_16->Street_10->Street_4
2577.7000 A171 31 2 143.7000 Street_5 Street_7 297 N Street_5->Street_6->Street_7
2614.0000 A122 31 1 873.0000 Street_5 Avenue_18 285 N Street_5->Avenue_18
2624.7000 A169 31 2 210.7000 Street_5 Avenue_11 296 N Street_5->Avenue_18->Avenue_11
2634.3000 A147 31 2 531.3000 Avenue_12 Street_7 291 N Avenue_12->Avenue_16->Street_7
2634.4000 A155 31 2 405.4000 Avenue_12 Street_7 293 N Avenue_12->Avenue_16->Street_7
2639.8000 A142 31 1 614.8000 Street_5 Avenue_19 289 N Street_5->Avenue_19
2642.6000 A126 31 3 851.6000 Avenue_20 Street_8 285 N Avenue_20->Avenue_11->Avenue_18->Street_8
2642.9000 A152 31 1 462.9000 Street_7 Avenue_18 292 N Street_7->Avenue_18
2643.2000 A154 31 1 430.2000 Avenue_11 Street_7 292 N Avenue_11->Street_7
2652.3000 A165 31 2 283.3000 Street_10 Street_5 295 N Street_10->Street_9->Street_5
2657.8000 A116 31 2 1012.8000 Avenue_13 Avenue_18 283 N Avenue_13->Avenue_16->Avenue_18
2664.2000 A159 31 3 379.2000 Avenue_15 Avenue_16 293 N Avenue_15->Avenue_11->Street_7->Avenue_16
2677.2000 A164 31 4 319.2000 Street_5 Avenue_17 294 N Street_5->Street_1->Avenue_18->Avenue_11->Avenue_17
2677.3000 A173 31 3 211.3000 Street_5 Avenue_17 296 N Street_5->Avenue_18->Avenue_11->Avenue_17
2690.2000 A188 31 1 5.2000 Street_2 Street_10 299 N Street_2->Street_10
2690.3000 A144 31 3 634.3000 Station1_0 Street_2 289 N Station1_0->Street_6->Street_10->Street_2
2728.3000 A176 31 2 218.3000 Street_1 Street_3 296 N Street_1->Street_8->Street_3
2741.6000 A148 31 3 624.6000 Street_3 Avenue_15 289 N Street_3->Street_6->Avenue_16->Avenue_15
2741.7000 A161 31 2 423.7000 Street_9 Avenue_15 292 N Street_9->Avenue_16->Avenue_15
2741.8000 A181 31 3 167.8000 Street_1 Avenue_15 297 N Street_1->Street_6->Avenue_16->Avenue_15
2741.9000 A156 31 2 496.9000 Street_6 Avenue_15 291 N Street_6->Avenue_16->Avenue_15
2757.3000 A150 31 4 604.3000 Avenue_15 Street_2 289 N Avenue_15->Avenue_19->Street_4->Street_6->Street_2
2769.4000 A124 31 4 1003.4000 Street_1 Avenue_14 283 N Street_1->Avenue_16->Avenue_12->Avenue_20->Avenue_14
2780.0000 A179 31 2 227.0000 Street_8 Street_4 296 N Street_8->Street_10->Street_4
